Sample,P,r0,t0,lda0,R,T
162,623.1,96.9,92.5,360.76,0.05474,0.86894
163,520.2,78.6,72.6,662.8,0.37133,0.54168
164,473.2,87.7,98.8,434.35,0.12727,0.76494
165,543.9,80.8,60.2,502.38,0.15097,0.74389
166,491.4,36.6,61.9,892.9,0.09659,0.90308
167,491.5,64.8,58.2,684.94,0.13708,0.81616
168,638.1,37.3,80.5,654.83,0.11615,0.88231
169,603.5,39.3,60.9,378.71,0.05526,0.87454
170,608.6,67.6,87.9,586.17,0.04787,0.88471
171,588.2,78.3,64.3,387.0,0.06274,0.71374
172,457.1,70.3,96.9,340.34,0.00428,0.54862
173,460.7,35.9,54.9,981.81,0.08756,0.91215
174,513.6,64.1,72.9,443.97,0.08325,0.71295
175,560.9,58.4,49.7,872.46,0.1048,0.89382
176,511.7,61.5,99.0,493.4,0.06375,0.68401
177,603.0,62.0,75.4,508.61,0.12528,0.78148
178,603.6,89.0,45.1,909.74,0.1426,0.84899
179,459.5,33.2,59.2,843.51,0.10194,0.89771
180,492.7,66.5,93.4,572.91,0.12709,0.82447
181,629.4,111.1,48.6,625.82,0.15703,0.82044
182,468.4,31.8,73.7,308.68,0.00194,0.91671
183,498.4,35.7,67.9,395.41,0.05721,0.86118
184,604.2,40.4,92.9,470.03,0.10539,0.83457
185,612.3,69.5,55.5,339.02,0.01422,0.81131
186,489.9,89.2,82.8,781.14,0.18013,0.79201
187,564.5,91.0,61.5,597.48,0.35951,0.32844
188,615.8,119.3,91.3,492.75,0.06033,0.554
189,629.8,53.8,97.5,916.02,0.09188,0.90724
190,650.0,56.1,73.1,899.17,0.0967,0.90244
191,601.1,72.3,82.3,914.71,0.10024,0.89731
192,490.4,86.2,89.8,679.1,0.74186,0.04698
193,602.8,106.4,74.3,786.24,0.7257,0.1311
194,581.8,72.3,58.8,300.5,0.00249,0.93831
195,464.9,92.4,58.3,445.82,0.11992,0.55567
196,502.7,51.1,43.8,896.54,0.10123,0.8979
197,481.4,82.6,71.7,699.13,0.47192,0.3705
198,501.1,91.5,60.2,763.19,0.34183,0.58856
199,576.1,84.5,85.8,426.04,0.01726,0.76551
200,619.6,54.2,89.8,912.79,0.09327,0.90584
201,496.7,88.0,92.0,505.96,0.06723,0.59552
202,632.5,76.5,59.9,553.9,0.16224,0.76985
203,537.5,75.7,89.2,961.28,0.10113,0.89589
204,578.8,86.3,66.0,547.5,0.22162,0.62572
205,582.0,114.3,63.0,485.29,0.13448,0.75457
206,471.5,37.1,54.6,333.15,0.01192,0.88417
207,620.6,36.0,97.9,487.35,0.10122,0.84876
208,606.7,41.9,79.1,895.03,0.09524,0.90436
209,505.1,86.6,50.1,725.93,0.63159,0.16934
210,569.9,60.3,86.8,938.24,0.0933,0.90536
211,618.9,30.0,75.6,876.36,0.09711,0.90274
212,455.6,72.2,41.2,634.18,0.2974,0.58972
213,453.6,51.5,77.3,992.02,0.09022,0.90871
214,548.6,95.3,56.2,573.71,0.20557,0.67804
215,602.7,97.1,74.5,865.51,0.17446,0.80789
216,554.1,68.7,78.9,849.28,0.10427,0.89241
217,467.4,59.8,80.8,747.1,0.10019,0.89403
218,552.1,84.4,96.0,900.77,0.10967,0.88487
219,563.0,34.1,42.8,534.42,0.12679,0.84378
220,584.9,117.9,48.7,340.63,0.0184,0.92176
221,478.4,97.1,57.6,883.48,0.20781,0.77772
222,634.8,96.6,53.8,770.0,0.21216,0.75027
223,526.7,37.0,60.3,342.71,0.01977,0.89047
224,633.4,79.7,46.9,466.21,0.08984,0.85212
225,564.9,67.4,53.5,566.32,0.15397,0.79419
226,480.6,110.2,76.1,727.65,0.86242,0.00945
227,514.0,95.4,63.7,893.81,0.17412,0.81474
228,580.7,105.4,83.3,568.51,0.11848,0.3773
229,523.8,101.0,72.5,439.73,0.08998,0.7328
230,596.9,74.5,57.7,494.56,0.1291,0.83052
231,583.1,56.0,48.2,661.24,0.12586,0.87344
232,576.6,59.7,95.2,558.06,0.04584,0.82309
233,518.8,110.4,48.2,814.23,0.64449,0.24659
234,551.3,40.8,68.1,786.09,0.10702,0.89229
235,605.3,44.7,78.6,579.26,0.10272,0.85172
236,632.6,117.0,47.0,523.33,0.14615,0.82079
237,627.3,73.5,72.4,648.19,0.1064,0.83776
238,605.1,112.2,51.3,875.77,0.42655,0.51027
239,576.9,61.4,79.2,772.18,0.1029,0.89291
240,465.7,71.5,60.1,527.59,0.08994,0.81713
241,560.5,112.7,94.6,303.8,0.02722,0.57746
242,566.5,63.7,76.0,583.96,0.20668,0.57673
243,621.8,103.5,70.5,898.83,0.19514,0.78692
244,605.6,57.1,96.7,479.36,0.08181,0.76565
245,488.8,86.0,94.6,449.0,0.13718,0.75324
246,626.9,71.1,46.5,914.25,0.10711,0.8906
247,496.6,108.5,65.2,579.49,0.14257,0.82797
248,608.2,93.1,85.4,525.08,0.13209,0.66444
249,521.3,103.8,62.1,369.98,0.07201,0.51367
250,461.3,74.0,86.0,452.9,0.02656,0.61218
251,466.8,38.9,74.0,573.51,0.13642,0.72583
252,540.1,98.1,70.0,974.11,0.15061,0.84191
253,514.6,48.8,52.6,918.27,0.09696,0.90236
254,526.4,91.2,97.5,354.91,0.04953,0.8098
255,494.3,91.0,77.4,706.97,0.75445,0.05732
256,648.3,41.3,69.3,594.58,0.11241,0.85486
257,520.0,59.4,46.8,832.55,0.11132,0.88639
258,569.2,58.8,40.8,889.94,0.10426,0.89445
259,462.1,79.8,91.9,554.09,0.10678,0.70524
260,487.8,39.2,71.3,840.57,0.10152,0.89791
261,553.3,113.0,82.4,412.59,0.00154,0.75001
262,606.1,38.9,75.0,528.24,0.1146,0.82853
263,535.5,69.8,80.7,477.76,0.06974,0.76563
264,619.3,32.1,80.8,706.29,0.11366,0.88556
265,510.6,99.0,85.5,492.05,0.10851,0.52771
266,456.4,88.1,50.3,887.52,0.1735,0.81641
267,628.6,49.3,84.3,998.04,0.08537,0.9141
268,631.3,45.2,87.7,550.35,0.11722,0.79299
269,608.3,83.4,42.1,326.17,0.01235,0.78003
270,607.5,38.3,42.6,453.83,0.10244,0.87444
271,470.6,42.4,74.6,479.68,0.10048,0.80866
272,615.5,115.4,85.5,302.82,0.02017,0.74324
273,558.5,38.3,55.6,848.34,0.10165,0.898
274,574.8,66.6,96.3,524.53,0.14667,0.79138
275,472.4,112.4,80.1,866.86,0.31639,0.65939
276,603.4,115.5,99.5,996.56,0.17784,0.81074
277,649.8,41.8,45.7,953.14,0.09018,0.90959
278,466.9,115.9,48.6,970.92,0.31219,0.66755
279,565.9,51.0,43.0,801.58,0.11009,0.88855
280,454.9,116.8,52.0,493.56,0.12928,0.60822
281,486.6,49.3,78.0,662.34,0.097,0.89249
282,464.3,63.0,87.5,881.18,0.10006,0.89735
283,562.3,82.1,44.4,972.62,0.11838,0.87766
284,538.6,85.4,80.8,746.78,0.25252,0.67619
285,516.2,51.6,71.8,514.04,0.11367,0.8137
286,603.5,51.9,77.7,745.73,0.10552,0.89183
287,611.4,70.1,76.4,376.49,0.06623,0.84457
288,592.2,119.4,72.3,696.23,0.16235,0.83113
289,547.7,87.4,40.1,809.06,0.23555,0.72276
290,611.0,72.0,66.3,349.95,0.02059,0.85079
291,594.3,56.4,47.0,807.9,0.11021,0.88791
292,467.8,100.2,58.3,638.82,0.31515,0.63142
293,460.6,93.4,44.8,686.64,0.50937,0.37027
294,558.6,108.3,43.8,927.17,0.25449,0.72176
295,464.4,64.1,67.3,872.39,0.1083,0.88902
296,534.9,102.2,48.5,317.85,0.01318,0.92845
297,515.4,85.9,72.3,749.41,0.24247,0.69984
298,477.9,64.3,80.0,803.08,0.10419,0.89139
299,605.2,66.2,79.8,358.49,0.05084,0.91621
300,604.3,73.3,63.7,933.26,0.10412,0.89356
301,595.6,82.9,95.1,843.64,0.10769,0.88385
302,564.0,59.6,99.8,794.63,0.09531,0.90162
303,528.4,75.3,45.9,699.87,0.6033,0.10736
304,628.9,54.6,74.7,946.84,0.09196,0.9073
305,625.3,46.6,55.0,451.2,0.09346,0.85829
306,499.2,89.3,48.9,670.01,0.29818,0.64479
307,540.0,91.9,52.2,326.67,0.02457,0.89445
308,482.0,33.8,98.7,578.69,0.10909,0.80577
309,584.2,103.0,43.8,944.57,0.19426,0.79017
310,623.8,64.5,95.5,538.72,0.10799,0.70853
311,465.3,113.2,59.4,719.02,0.78783,0.09741
312,586.8,47.3,69.2,465.69,0.0957,0.82713
313,586.6,34.8,54.5,593.58,0.12016,0.86652
314,593.9,32.8,80.8,681.28,0.11411,0.88445
315,469.9,73.2,69.3,608.6,0.26328,0.64955
316,576.4,43.2,54.3,380.96,0.05008,0.8673
317,579.3,36.2,66.1,412.81,0.07142,0.88207
318,625.2,32.8,98.5,622.43,0.11643,0.88027
319,622.6,80.0,97.9,448.21,0.02737,0.69156
320,562.1,82.7,55.8,652.28,0.14252,0.85351
321,509.6,112.8,42.8,351.78,0.08211,0.62241
322,628.9,100.6,67.6,583.78,0.25484,0.67127
323,524.9,78.6,46.2,985.32,0.11488,0.88177
324,584.5,106.5,80.4,450.1,0.04286,0.60537
325,451.0,50.2,67.7,391.63,0.04756,0.75647
326,462.5,42.8,56.8,724.59,0.11256,0.88571
327,461.0,90.9,65.0,864.91,0.17779,0.81012
328,603.3,36.3,59.8,697.54,0.11547,0.88332
329,533.2,64.8,90.8,367.46,0.04147,0.73655
330,594.2,75.5,84.7,503.63,0.1202,0.73409
331,627.7,102.4,75.5,697.73,0.11657,0.88183
332,600.1,32.7,80.1,748.61,0.11061,0.88899
333,545.0,103.6,78.2,787.94,0.51892,0.38635
334,518.0,69.6,91.9,485.94,0.10586,0.65466
335,473.7,104.8,88.8,556.08,0.06444,0.6656
336,605.0,100.6,71.4,738.52,0.22819,0.74818
337,599.6,114.6,43.1,402.78,0.03724,0.77487
338,484.9,90.3,74.0,355.75,0.02772,0.49715
339,628.2,114.8,46.3,370.87,0.06418,0.86554
340,610.4,107.9,75.3,519.09,0.14891,0.71199
341,510.2,115.3,69.4,893.15,0.32098,0.65466
342,540.5,78.4,43.7,855.56,0.13554,0.85693
343,586.7,77.5,58.5,752.04,0.21164,0.72543
344,617.1,37.8,43.8,947.93,0.09041,0.90941
345,631.8,104.5,51.7,699.25,0.11717,0.8818
346,524.4,110.3,98.2,522.25,0.12836,0.41256
347,626.4,32.3,53.9,739.96,0.11333,0.88635
348,524.3,31.8,83.3,796.91,0.10528,0.89436
349,474.9,107.8,46.7,987.49,0.23595,0.74969
350,549.0,112.1,68.9,427.47,0.03214,0.77476
351,593.3,101.2,96.9,714.72,0.22477,0.7585
352,453.3,65.0,84.3,678.49,0.09342,0.86875
353,478.7,36.0,90.3,557.49,0.13034,0.82559
354,515.2,49.5,66.6,599.81,0.15043,0.8317
355,620.7,78.2,62.5,382.85,0.07722,0.81608
356,501.6,67.5,74.2,563.96,0.0967,0.86595
357,473.4,86.8,68.7,450.46,0.11623,0.56314
358,643.9,102.3,76.9,618.01,0.03703,0.8168
359,606.0,98.9,40.9,366.84,0.05964,0.87673
360,469.3,42.9,69.4,316.4,0.00901,0.95583
361,516.6,94.4,70.5,566.16,0.14595,0.57289
362,563.7,50.2,94.0,853.69,0.09713,0.90179
363,460.8,113.6,96.8,540.22,0.04343,0.58119
364,499.2,94.8,73.7,910.76,0.16149,0.82924
365,511.6,84.8,97.2,724.7,0.26282,0.64802
366,524.1,113.5,48.2,909.98,0.3312,0.63862
367,490.9,71.0,60.5,697.79,0.17868,0.75741
368,544.7,35.9,50.3,335.84,0.02378,0.92571
369,631.9,112.8,74.4,581.76,0.2429,0.70706
370,473.8,44.9,55.0,489.34,0.11362,0.81901
371,629.5,52.1,78.5,786.75,0.10441,0.89402
372,601.2,42.7,64.7,769.1,0.10896,0.89025
373,536.5,68.8,53.4,595.32,0.10674,0.87267
374,542.7,33.8,51.6,639.35,0.11896,0.87698
375,513.2,103.8,49.0,474.88,0.16117,0.68607
376,541.8,68.3,92.9,533.78,0.05077,0.7142
377,568.4,89.5,66.3,780.42,0.27212,0.66631
378,587.4,118.9,84.8,351.46,0.04293,0.80169
379,539.0,74.4,85.0,455.26,0.09758,0.72374
380,581.6,75.5,93.9,601.26,0.26916,0.41587
381,602.6,60.1,92.4,668.22,0.11201,0.88637
382,594.9,86.4,48.7,993.56,0.1175,0.87847
383,543.1,36.3,65.7,303.4,0.00188,0.93574
384,630.3,35.5,98.0,838.72,0.10005,0.89961
385,568.9,114.4,75.1,653.89,0.14213,0.85237
386,617.5,95.1,48.6,691.7,0.12045,0.87887
387,624.4,60.7,57.2,382.21,0.07103,0.87606
